,Brand,Application,Os,Resolution,Sound_Output,Refresh_Rate,USB,Rating,Price,HDMI,Screen_size
129,SAMSUNG,Netflix|Disney+Hotstar|Youtube,Tizen,HD Ready,20,60,1,4.3,18290,2,32 inch
130,Mi,Netflix|Disney+Hotstar|Youtube,Android,Ultra HD,20,60,2,4.3,38999,3,50 inch
131,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Ultra HD,20,60,2,4.3,44999,3,55 inch
132,TCL,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Ultra HD,30,60,2,4.3,34999,3,50 inch
133,OnePlus,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,20,60,2,4.3,18999,2,32 inch
134,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,20,60,2,4.1,16999,3,32 inch
135,LG,Netflix|Prime Video|Disney+Hotstar|Youtube,WebOS,Full HD ,20,50,1,4.4,33990,2,43 inch
136,KODAK,Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,24,60,2,4.4,13990,3,32 inch
137,LG,Netflix|Prime Video|Disney+Hotstar|Youtube,WebOS,Ultra HD,20,60,1,4.3,38990,2,43 inch
138,TOSHIBA,Netflix|Prime Video|Youtube,VIDAA,Full HD ,24,60,2,4.3,24990,2,43 inch
139,iFFALCON,Netflix|Disney+Hotstar|Youtube,Android,Ultra HD,30,60,2,4.3,36999,3,55 inch
140,OnePlus,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Full HD ,20,60,2,4.3,29499,2,43 inch
141,Thomson,Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,24,60,2,4.4,14499,3,32 inch
142,SAMSUNG,Netflix|Disney+Hotstar|Youtube,Tizen,Full HD ,20,60,1,4.4,32990,2,43 inch
143,TCL,Netflix|Disney+Hotstar|Youtube,Android,HD Ready,20,60,1,4.2,16499,2,32 inch
144,SAMSUNG,Netflix|Disney+Hotstar|Youtube,Tizen,Ultra HD,20,120,2,4.4,98970,4,65 inch
145,Candes,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Full HD ,20,60,2,4.1,18499,2,40 inch
146,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,20,60,2,4.4,16999,3,32 inch
147,LG,Netflix|Prime Video|Disney+Hotstar|Youtube,WebOS,HD Ready,10,50,1,4.4,17999,2,32 inch
148,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Ultra HD,20,60,2,4.3,29999,3,43 inch
149,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Full HD ,20,60,2,4.3,24999,3,40 inch
150,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Full HD ,20,60,3,4.4,26999,3,43 inch
151,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Full HD ,20,60,2,4.4,23999,3,40 inch
152,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,20,60,2,4.3,17499,3,32 inch
153,realme,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,24,60,2,4.3,16999,3,32 inch
154,SAMSUNG,Netflix|Disney+Hotstar|Youtube,Tizen,HD Ready,20,60,1,4.3,18290,2,32 inch
155,Mi,Netflix|Disney+Hotstar|Youtube,Android,Ultra HD,20,60,2,4.3,38999,3,50 inch
156,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Ultra HD,20,60,2,4.3,44999,3,55 inch
157,TCL,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Ultra HD,30,60,2,4.3,34999,3,50 inch
158,OnePlus,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,20,60,2,4.3,18999,2,32 inch
159,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,20,60,2,4.1,16999,3,32 inch
160,LG,Netflix|Prime Video|Disney+Hotstar|Youtube,WebOS,Full HD ,20,50,1,4.4,33990,2,43 inch
161,KODAK,Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,24,60,2,4.4,13990,3,32 inch
162,LG,Netflix|Prime Video|Disney+Hotstar|Youtube,WebOS,Ultra HD,20,60,1,4.3,38990,2,43 inch
163,TOSHIBA,Netflix|Prime Video|Youtube,VIDAA,Full HD ,24,60,2,4.3,24990,2,43 inch
164,iFFALCON,Netflix|Disney+Hotstar|Youtube,Android,Ultra HD,30,60,2,4.3,36999,3,55 inch
165,OnePlus,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Full HD ,20,60,2,4.3,29499,2,43 inch
166,Thomson,Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,24,60,2,4.4,14499,3,32 inch
167,SAMSUNG,Netflix|Disney+Hotstar|Youtube,Tizen,Full HD ,20,60,1,4.4,32990,2,43 inch
168,SAMSUNG,Netflix|Disney+Hotstar|Youtube,Tizen,Ultra HD,20,120,2,4.4,98970,4,65 inch
169,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,20,60,2,4.4,16999,3,32 inch
170,LG,Netflix|Prime Video|Disney+Hotstar|Youtube,WebOS,HD Ready,10,50,1,4.4,17999,2,32 inch
171,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Ultra HD,20,60,2,4.3,29999,3,43 inch
172,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Full HD ,20,60,2,4.3,24999,3,40 inch
173,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Full HD ,20,60,3,4.4,26999,3,43 inch
174,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Full HD ,20,60,2,4.4,23999,3,40 inch
175,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,20,60,2,4.3,17499,3,32 inch
176,realme,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,24,60,2,4.3,16999,3,32 inch
177,SAMSUNG,Netflix|Disney+Hotstar|Youtube,Tizen,HD Ready,20,60,1,4.3,18290,2,32 inch
178,Mi,Netflix|Disney+Hotstar|Youtube,Android,Ultra HD,20,60,2,4.3,38999,3,50 inch
179,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Ultra HD,20,60,2,4.3,44999,3,55 inch
180,TCL,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Ultra HD,30,60,2,4.3,34999,3,50 inch
181,OnePlus,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,20,60,2,4.3,18999,2,32 inch
182,Mi,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,20,60,2,4.1,16999,3,32 inch
183,LG,Netflix|Prime Video|Disney+Hotstar|Youtube,WebOS,Full HD ,20,50,1,4.4,33990,2,43 inch
184,KODAK,Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,24,60,2,4.4,13990,3,32 inch
185,LG,Netflix|Prime Video|Disney+Hotstar|Youtube,WebOS,Ultra HD,20,60,1,4.3,38990,2,43 inch
186,TOSHIBA,Netflix|Prime Video|Youtube,VIDAA,Full HD ,24,60,2,4.3,24990,2,43 inch
187,iFFALCON,Netflix|Disney+Hotstar|Youtube,Android,Ultra HD,30,60,2,4.3,36999,3,55 inch
188,OnePlus,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,Full HD ,20,60,2,4.3,29499,2,43 inch
189,Thomson,Prime Video|Disney+Hotstar|Youtube,Android,HD Ready,24,60,2,4.4,14499,3,32 inch
190,SAMSUNG,Netflix|Disney+Hotstar|Youtube,Tizen,Full HD ,20,60,1,4.4,32990,2,43 inch
191,TCL,Netflix|Disney+Hotstar|Youtube,Android,HD Ready,20,60,1,4.2,16499,2,32 inch
